rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
68	primary::KEAP1+NF1+STK11	primary	KEAP1+NF1+STK11	3	12	0.0004420215117135	0.0002792137042299	3	0.0002792137042299	0.0	primary::NF1+STK11	0.4722262140852207	0.0001913396329356	rule_a_one_step	True	True	True	stable	True	1.5830938934373109	1.9327713175857848	0.9506709502744976	True	relative_bottleneck	1.8072174534785792	0.7812960365888794	3.4567428277171395	0.0	0.024	500
69	metastatic::KRAS+TP53	metastatic	KRAS+TP53	2	459	0.016907322823044	0.0107836214400605	2	0.0107836214400605	0.0	metastatic::KRAS	0.5281365548259801	0.0091822769219781	rule_a_one_step	True	True	True	stable	True	1.567870581831304	1.9141854458616037	0.9367306045704245	True	relative_bottleneck	1.714198978419048	1.5144435967440035	1.972919495179977	0.0	0.0	500
70	metastatic::ATM+KEAP1+KRAS	metastatic	ATM+KEAP1+KRAS	3	10	0.0003683512597613	0.0002413487999792	3	0.0002413487999792	0.0	metastatic::KEAP1+KRAS	0.0650635447263058	9.346833079143682e-05	rule_a_one_step	True	True	True	stable	True	1.526219555542912	1.863334444987976	0.8978866430511526	True	relative_bottleneck	1.663918722565457	0.692722820071084	3.212291192594108	0.0	0.016	500
71	primary::BRAF+STK11	primary	BRAF+STK11	2	28	0.0010313835273316	0.0006772444124176	2	0.0006772444124176	0.0	primary::BRAF	0.09755284342101	0.0005461924340648	rule_a_one_step	True	True	True	stable	True	1.5229118275436777	1.859296098412452	0.8947565420135194	True	relative_bottleneck	1.683655644299975	1.0287495952504626	2.4032927810089317	0.0	0.0	500
72	primary::ARID1A+BRAF+SETD2	primary	ARID1A+BRAF+SETD2	3	5	0.0001841756298806	0.000123380044519	3	0.000123380044519	0.0	primary::BRAF+SETD2	0.0818634154061948	0.0001085561718956	rule_a_one_step	True	True	True	stable	True	1.4927505424876386	1.822472719268927	0.8658972189033761	False	relative_bottleneck	1.5076733235169013	0.3268903027822739	3.47791547914438	0.0	0.012	500
73	primary::EGFR+PIK3CA+SETD2	primary	EGFR+PIK3CA+SETD2	3	7	0.0002578458818329	0.0001737090857906	3	0.0001737090857906	0.0	primary::EGFR+PIK3CA	0.0261410758145774	8.377315440799451e-05	rule_a_one_step	True	True	True	stable	True	1.4843545988109332	1.8122222602218212	0.8577599057460119	False	relative_bottleneck	1.5961831809119758	0.4958470660355574	3.174204876007632	0.0	0.016	500
74	primary::KEAP1+SETD2+TP53	primary	KEAP1+SETD2+TP53	3	7	0.0002578458818329	0.0001769057210317	3	0.0001769057210317	0.0	primary::KEAP1+TP53	0.0532777228063078	9.812458156458642e-05	rule_a_one_step	True	True	True	stable	True	1.4575327404426313	1.779475928021624	0.8314524168270618	False	relative_bottleneck	1.5539855112261085	0.5025598521248686	2.976535303694782	0.0	0.006	500
75	primary::ATM+STK11	primary	ATM+STK11	2	10	0.0003683512597613	0.0002532767900473	2	0.0002532767900473	0.0	primary::STK11	0.0322525411855586	0.0001318709323558	rule_a_one_step	True	True	True	stable	True	1.4543427300943337	1.775581300842812	0.8282914204193724	True	relative_bottleneck	1.556171784492784	0.7842477640264157	2.852825061857261	0.0	0.0	500
76	primary::ATM+MET	primary	ATM+MET	2	13	0.0004788566376897	0.0003307632868343	2	0.0003307632868343	0.0	primary::MET	0.0309766109106714	0.0002544491024414	rule_a_one_step	True	True	True	stable	True	1.4477321253668776	1.767510530522688	0.8217188103883393	True	relative_bottleneck	1.5874233688386634	0.8229993573503008	2.5967534389375704	0.0	0.002	500
77	primary::NF1+SETD2	primary	NF1+SETD2	2	5	0.0001841756298806	0.0001276302464391	2	0.0001276302464391	0.0	primary::SETD2	0.0286892076990402	7.291717000271761e-05	rule_a_one_step	True	True	True	stable	True	1.443040608132191	1.7617827401593045	0.8170360247007965	False	relative_bottleneck	1.5396681641925452	0.3514799393394537	3.378924472448048	0.0	0.02	500
78	metastatic::KRAS+STK11	metastatic	KRAS+STK11	2	95	0.0034993369677324	0.0024273437826651	2	0.0024273437826651	0.0	metastatic::KRAS	0.1096412972365792	0.0019062432700628	rule_a_one_step	True	True	True	stable	True	1.4416322035969071	1.7600632439875112	0.815627269855665	True	relative_bottleneck	1.581947250809485	1.2681884468475395	1.9633221458990548	0.0	0.0	500
79	metastatic::ATM+EGFR	metastatic	ATM+EGFR	2	40	0.0014734050390452	0.0010248433034616	2	0.0010248433034616	0.0	metastatic::EGFR	0.0298524732011101	0.0007235497040787	rule_a_one_step	True	True	True	stable	True	1.437688115471606	1.755247976596099	0.8116748649075946	True	relative_bottleneck	1.568203705205165	1.0580457352835282	2.097165415176613	0.0	0.0	500
