state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
primary::RBM10+TP53	22	0.0008103727714748	0.0016170811751666427	0.6118244338307881	True	full_mhn
unknown::KRAS+TP53	39	0.0014365699130691	0.0016159057481562411	1.0853868079797022	True	full_mhn
primary::KRAS+RBM10+STK11	31	0.00114188890526	0.0016072392280124435	0.8673954260264698	True	full_mhn
metastatic::RBM10+TP53	17	0.0006261971415942	0.0016019903828689021	0.4772269644713437	True	full_mhn
primary::ATM	45	0.0016575806689258	0.0015878895239148263	1.274465806211499	True	full_mhn
primary::BRAF+KRAS+TP53	20	0.0007367025195226	0.0015816847150687107	0.5686512988997868	True	full_mhn
primary::BRAF	152	0.0055989391483718	0.0015766224762406955	4.3356261992444125	True	full_mhn
primary::KRAS+NF1	36	0.0013260645351407	0.0015680361635031633	1.0324817497747842	True	full_mhn
primary::ATM+KRAS+RBM10	39	0.0014365699130691	0.0015636151183372094	1.1216844614652894	True	full_mhn
metastatic::KEAP1+STK11+TP53	34	0.0012523942831884	0.0015594028661098463	0.9805202031248869	True	full_mhn
primary::RBM10	35	0.0012892294091645	0.001545665916838071	1.0183296087848777	True	full_mhn
metastatic::MET	83	0.0030573154560188	0.0014930847067302997	2.4999400997684456	True	full_mhn
primary::KEAP1+STK11	73	0.0026889641962575	0.0014820714811716457	2.2150812822296855	True	full_mhn
primary::EGFR+KEAP1+TP53	17	0.0006261971415942	0.0014620776842006686	0.5228949294175913	True	full_mhn
unknown::CDKN2A	2	7.367025195226167e-05	0.0014524755927455275	0.061923730224138426	False	full_mhn
metastatic::ARID1A+KRAS+TP53	34	0.0012523942831884	0.0014452053227741902	1.0579991582227137	True	full_mhn
primary::EGFR+MET+TP53	21	0.0007735376454987	0.0014017032854621108	0.6737505938493958	True	full_mhn
primary::KEAP1	28	0.0010313835273316	0.0013946525201437652	0.902875717391348	True	full_mhn
metastatic::KEAP1+KRAS+STK11+TP53	24	0.0008840430234271	0.0013506008097039892	0.7991350762837827	True	full_mhn
metastatic::EGFR+RBM10	47	0.0017312509208781	0.0013351413379994583	1.583093526228174	True	full_mhn
metastatic::KRAS+RBM10	43	0.0015839104169736	0.0013268264769267278	1.4574386544824363	True	full_mhn
metastatic::ATM+KEAP1+KRAS+STK11	16	0.000589362015618	0.0013167980081871782	0.5464328238451585	True	full_mhn
primary::NF1	48	0.0017680860468542	0.001261320708378223	1.7114005563627444	True	full_mhn
unknown::EGFR+PIK3CA+TP53	6	0.0002210107558567	0.0012557333852493936	0.21487691848231014	True	full_mhn
primary::KRAS+SMARCA4	21	0.0007735376454987	0.0012366739187398184	0.763660013023633	True	full_mhn
metastatic::EGFR+MET+TP53	26	0.0009577132753794	0.0012288030269236652	0.9515399638059785	True	full_mhn
metastatic::EGFR+KRAS	10	0.0003683512597613	0.001227756381689018	0.3662888993794103	True	full_mhn
primary::EGFR+SETD2	42	0.0015470752909974	0.0012003132570784195	1.5735865871653931	True	full_mhn
unknown::EGFR+RBM10+TP53	7	0.0002578458818329	0.0011832550572478265	0.266045322764975	True	full_mhn
metastatic::EGFR+PIK3CA	44	0.0016207455429497	0.0011793549035560994	1.6778151703859383	True	full_mhn
primary::BRAF+EGFR	9	0.0003315161337851	0.0011266607669693546	0.3592405027455517	True	full_mhn
metastatic::KRAS+SMARCA4+TP53	20	0.0007367025195226	0.0011243493589254477	0.799953377749111	True	full_mhn
primary::SETD2	69	0.002541623692353	0.0010894598030055218	2.8482220032604655	True	full_mhn
primary::KEAP1+SMARCA4+STK11+TP53	11	0.0004051863857374	0.0010866608899464307	0.4552339111996965	True	full_mhn
primary::EGFR+KRAS+TP53	21	0.0007735376454987	0.0010641861777937718	0.8874372177290901	True	full_mhn
metastatic::ATM	49	0.0018049211728304	0.0010392403099844744	2.1203914955016296	True	full_mhn
metastatic::BRAF	70	0.0025784588183291	0.0010318662641575296	3.0507778431615433	True	full_mhn
metastatic::KRAS+SETD2+TP53	16	0.000589362015618	0.0010272988959271982	0.7004209356654499	True	full_mhn
primary::EGFR+KRAS+RBM10	7	0.0002578458818329	0.001024936389650066	0.30714049843148866	True	full_mhn
metastatic::ATM+EGFR	40	0.0014734050390452	0.0010248433034616942	1.7552479765964668	True	full_mhn
metastatic::RBM10	11	0.0004051863857374	0.001011605846851973	0.48900951747530536	True	full_mhn
primary::BRAF+SETD2+TP53	4	0.0001473405039045	0.0010008677158510602	0.1797294593679327	False	full_mhn
primary::EGFR+PIK3CA+RBM10+TP53	3	0.0001105053779283	0.0009827609226751638	0.13728065187179317	False	full_mhn
primary::ARID1A+EGFR	24	0.0008840430234271	0.0009578872434544581	1.126763602020369	True	full_mhn
primary::KRAS+SMARCA4+STK11	13	0.0004788566376897	0.0009384795392688777	0.6229518804321325	True	full_mhn
