condition	topology	sparsity	placement	repeat	truth_states_evaluable	truth_states_implanted	evaluable_fraction	spearman_R_star	spearman_occupancy	spearman_gain	pairwise_concordance_R_star	pairwise_concordance_occupancy
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	5	7	10	0.7	0.7525786756697113	0.8260009854911466	-0.07342230982143538	0.8333333333333334	0.8888888888888888
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	6	9	10	0.9	0.8645309671165332	0.8979455123485579	-0.033414545232024695	0.90625	0.9354838709677419
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	7	8	10	0.8	0.9271050693011065	0.9572173526639411	-0.03011228336283467	0.9583333333333334	1.0
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	8	8	10	0.8	0.9759000729485332	0.9081292832965595	0.0677707896519737	1.0	0.9565217391304348
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	9	9	10	0.9	0.9153857298880941	0.8894341804779554	0.025951549410138663	0.9375	0.9354838709677419
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	10	7	10	0.7	0.9728456051340169	0.9816498172140429	-0.00880421208002602	1.0	1.0
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	1	7	10	0.7	0.8443565629465053	0.6924357433015383	0.15192081964496695	0.8888888888888888	0.8125
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	2	5	10	0.5	0.9486832980505137	0.892217816219194	0.05646548183131961	1.0	1.0
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	3	6	10	0.6	0.4780914437337575	0.6669729688499157	-0.18888152511615824	0.6666666666666666	0.8181818181818182
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	4	7	10	0.7	0.6975119433036349	0.7757348131606614	-0.07822286985702653	0.8333333333333334	0.8823529411764706
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	5	7	10	0.7	0.8260009854911466	0.8705196492275475	-0.0445186637364009	0.8888888888888888	0.9411764705882353
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	6	6	10	0.6	0.956182887467515	0.970142500145332	-0.01395961267781698	1.0	1.0
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	7	5	10	0.5	0.7905694150420949	0.7905694150420949	0.0	0.875	0.875
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	8	7	10	0.7	0.587378478571482	0.6732014170987178	-0.08582293852723588	0.7222222222222222	0.8
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	9	5	10	0.5	0.9486832980505137	0.9733285267845754	-0.02464522873406172	1.0	1.0
mutual_exclusivity|s=0.05|late	mutual_exclusivity	0.05	late	10	6	10	0.6	0.956182887467515	0.956182887467515	0.0	1.0	1.0
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	1	10	10	1.0	0.9847319278346618	0.8124038404635959	0.17232808737106586	1.0	0.85
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	2	10	10	1.0	0.9847319278346618	0.8124038404635959	0.17232808737106586	1.0	0.85
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	3	10	10	1.0	0.9847319278346618	0.8862587350511957	0.09847319278346611	1.0	0.925
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	4	10	10	1.0	0.9847319278346618	0.8889566369846308	0.095775290850031	1.0	0.9
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	5	10	10	1.0	0.9354953314429287	0.7877855422677295	0.14770978917519928	0.95	0.85
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	6	9	10	0.9	0.8814825547070536	0.7660198683542201	0.11546268635283352	0.90625	0.8387096774193549
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	7	10	10	1.0	0.9108770332470622	0.777837057361552	0.1330399758855102	0.925	0.8205128205128205
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	8	10	10	1.0	0.9601136296387952	0.8862587350511957	0.07385489458759953	0.975	0.925
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	9	10	10	1.0	0.9847319278346618	0.8370221386594626	0.14770978917519917	1.0	0.875
mutual_exclusivity|s=0.10|early	mutual_exclusivity	0.1	early	10	10	10	1.0	0.9601136296387952	0.8395701571521513	0.12054347248664388	0.975	0.875
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	1	10	10	1.0	0.8370221386594626	0.9259964968589902	-0.08897435819952759	0.875	0.9487179487179487
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	2	9	10	0.9	0.9492889050691345	0.9786682258053809	-0.029379320736246384	0.96875	1.0
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	3	9	10	0.9	0.9238615236833542	0.9490135035721725	-0.025151979888818343	0.9375	0.967741935483871
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	4	7	10	0.7	0.8994232953125818	0.9728456051340169	-0.07342230982143505	0.9444444444444444	1.0
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	5	8	10	0.8	0.8849947770681914	0.9079925477265159	-0.022997770658324534	0.92	0.9565217391304348
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	6	8	10	0.8	0.9819805060619657	0.981613565109747	0.0003669409522187861	1.0	1.0
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	7	8	10	0.8	0.9759000729485332	0.95	0.025900072948533248	1.0	1.0
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	8	7	10	0.7	0.8443565629465053	0.8443565629465053	0.0	0.8888888888888888	0.8888888888888888
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	9	8	10	0.8	0.8783100656536799	0.981761387347632	-0.1034513216939521	0.9166666666666666	1.0
mutual_exclusivity|s=0.10|middle	mutual_exclusivity	0.1	middle	10	9	10	0.9	0.9492889050691345	0.8724115167367507	0.07687738833238389	0.96875	0.9032258064516129
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	1	6	10	0.6	0.6767633692869747	0.7650368522374495	-0.08827348295047488	0.7692307692307693	0.8461538461538461
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	2	7	10	0.7	0.6424452109375585	0.6542341797740517	-0.011788968836493274	0.7777777777777778	0.8125
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	3	7	10	0.7	0.8728715609439697	0.8148148148148149	0.05805674612915479	0.8947368421052632	0.8823529411764706
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	4	6	10	0.6	0.6473388749701496	0.9710083124552246	-0.32366943748507493	0.7692307692307693	1.0
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	5	8	10	0.8	0.9271050693011065	0.981761387347632	-0.05465631804652549	0.9583333333333334	1.0
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	6	6	10	0.6	0.5590653920196746	0.8754275592730113	-0.31636216725333666	0.7692307692307693	1.0
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	7	6	10	0.6	0.956182887467515	0.970142500145332	-0.01395961267781698	1.0	1.0
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	8	8	10	0.8	0.9759000729485332	0.9559937503105924	0.019906322637940788	1.0	1.0
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	9	5	10	0.5	0.6668859288553503	1.0	-0.33311407114464975	0.7777777777777778	1.0
mutual_exclusivity|s=0.10|late	mutual_exclusivity	0.1	late	10	5	10	0.5	0.7905694150420949	0.892217816219194	-0.10164840117709917	0.875	1.0
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	1	10	10	1.0	0.9847319278346618	0.8370221386594626	0.14770978917519917	1.0	0.875
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	2	10	10	1.0	0.9847319278346618	0.8616404368553291	0.1230914909793327	1.0	0.875
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	3	10	10	1.0	0.9354953314429287	0.851916777110271	0.0835785543326577	0.95	0.8974358974358975
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	4	10	10	1.0	0.9847319278346618	0.8616404368553291	0.1230914909793327	1.0	0.875
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	5	10	10	1.0	0.9847319278346618	0.8124038404635959	0.17232808737106586	1.0	0.875
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	6	9	10	0.9	0.9831920802501751	0.8899583485023137	0.09323373174786143	1.0	0.90625
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	7	10	10	1.0	0.9847319278346618	0.8889566369846308	0.095775290850031	1.0	0.925
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	8	10	10	1.0	0.9601136296387952	0.8616404368553291	0.09847319278346611	0.975	0.9
mutual_exclusivity|s=0.20|early	mutual_exclusivity	0.2	early	9	10	10	1.0	0.9847319278346618	0.8862587350511957	0.09847319278346611	1.0	0.925
