rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
21	metastatic::RB1	metastatic	RB1	1	13	0.0011856986501276	0.0006425060522732	1	0.0006425060522732	0.0	metastatic::WT	0.0118195240891333	0.0006425060522732	rule_a_one_step	True	True	True	stable	True	1.8454279832652365	2.6961334669018027	1.4308919161307936	True	relative_bottleneck	2.3990888120682863	1.2313469664470758	3.86492710742525	0.032	0.114	500
22	primary::RUNX1	primary	RUNX1	1	18	0.0016417365924844	0.0009004460902926	1	0.0009004460902926	0.0	primary::WT	0.0082545910819131	0.0009004460902926	rule_a_one_step	True	True	True	stable	True	1.8232480637766448	2.663729047022696	1.413447339767589	True	relative_bottleneck	2.393724046141926	1.4232402636985622	3.5479561565203013	0.012	0.066	500
23	primary::BRCA2	primary	BRCA2	1	37	0.0033746807734403	0.001958442461149	1	0.001958442461149	0.0	primary::WT	0.0179534808896643	0.001958442461149	rule_a_one_step	True	True	True	stable	True	1.7231452231367408	2.517480793919019	1.3319807718274994	True	relative_bottleneck	2.2711947285203395	1.5756340417962107	3.069905985849549	0.0	0.006	500
24	metastatic::PTEN	metastatic	PTEN	1	40	0.0036483035388544	0.0021500501752602	1	0.0021500501752602	0.0	metastatic::WT	0.0395522653046191	0.0021500501752602	rule_a_one_step	True	True	True	stable	True	1.696845766269638	2.479057812115483	1.3097919157488749	True	relative_bottleneck	2.246573211709612	1.5394516027891056	3.090875484328485	0.0	0.006	500
25	primary::PTEN	primary	PTEN	1	78	0.0071141919007661	0.0043145302174684	1	0.0043145302174684	0.0	primary::WT	0.0395522653046191	0.0043145302174684	rule_a_one_step	True	True	True	stable	True	1.648891429781537	2.4089974832047463	1.2684328863244416	True	relative_bottleneck	2.1533377253102923	1.7074662470401627	2.7081123164979397	0.0	0.0	500
26	primary::AKT1+CBFB	primary	AKT1+CBFB	2	6	0.0005472455308281	0.0003336487937083	2	0.0003336487937083	0.0	primary::AKT1	0.0428529820668044	0.0003048643379433	rule_a_one_step	True	True	True	stable	True	1.640184348055442	2.396276610510903	1.2607944530260082	False	relative_bottleneck	2.130169283565058	0.6622571916346416	4.529175351970707	0.076	0.104	500
27	primary::AKT1+MAP2K4	primary	AKT1+MAP2K4	2	8	0.0007296607077708	0.0004587852517838	2	0.0004587852517838	0.0	primary::AKT1	0.0438830474804945	0.0003121924209666	rule_a_one_step	True	True	True	stable	True	1.590418836140449	2.323570190434781	1.216343226455127	False	relative_bottleneck	2.056732127986112	0.6736514682212322	3.7420258497475385	0.03	0.078	500
28	primary::ATM	primary	ATM	1	24	0.0021889821233126	0.0014236387340145	1	0.0014236387340145	0.0	primary::WT	0.0130508152840594	0.0014236387340145	rule_a_one_step	True	True	True	stable	True	1.537596631416705	2.2463980031466924	1.1676135583247138	True	relative_bottleneck	2.058245507098864	1.2433877564602804	2.8678240626177214	0.0	0.002	500
29	metastatic::ESR1+GATA3	metastatic	ESR1+GATA3	2	52	0.0047427946005107	0.0031090660280873	2	0.0031090660280873	0.0	metastatic::GATA3	0.1145510037831362	0.0017552506964216	rule_a_one_step	True	True	True	stable	True	1.525472458976059	2.228684829090517	1.1561926113678946	True	relative_bottleneck	2.0116195060567046	1.4218775822125995	2.7167287137184037	0.0	0.002	500
30	primary::NF1	primary	NF1	1	28	0.0025538124771981	0.0016911808307318	1	0.0016911808307318	0.0	primary::WT	0.0155034336355715	0.0016911808307318	rule_a_one_step	True	True	True	stable	True	1.51007652717003	2.206191679873755	1.1415581416046707	True	relative_bottleneck	2.010458090819451	1.3236682851902104	2.7501972809132265	0.0	0.0	500
