state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::MAP2K4+TP53	primary	MAP2K4+TP53	2	24	0.0021889821233126595	0.004257102415591641	2	0.004257102415591641	0.0	primary::TP53	0.027158283328439677	0.0035570316362312456	rule_a_one_step	True	True	True	stable	True	0.5141953162276094	0.7512290987115481	-0.41267514830437874	True	fast_passing	0.6946756523188944	0.4369525624063331	0.9910903290496228	0.0	0.0	500
primary::BRCA2+PIK3CA+TP53	primary	BRCA2+PIK3CA+TP53	3	13	0.0011856986501276906	0.004213129921264321	3	0.004213129921264321	0.0	primary::PIK3CA+TP53	0.05652358529729506	0.00233023171783814	rule_a_one_step	True	True	True	stable	True	0.2814294056923941	0.4111627471449766	-1.282218537903851	True	fast_passing	0.3662658757328375	0.1811436962841628	0.6065575117525289	0.0	0.0	500
primary::ESR1+PIK3CA	primary	ESR1+PIK3CA	2	9	0.0008208682962422473	0.004185135245830789	2	0.004185135245830789	0.0	primary::PIK3CA	0.048875488062376175	0.003414686597572068	rule_a_one_step	True	True	True	stable	True	0.19613901291812566	0.2865551848617648	-1.8031150946145091	False	fast_passing	0.2593080912082368	0.11190862215770826	0.4287693667742026	0.0	0.0	500
primary::GATA3+PIK3CA+TP53	primary	GATA3+PIK3CA+TP53	3	21	0.0019153593578985773	0.004164784408306791	3	0.004164784408306791	0.0	primary::PIK3CA+TP53	0.04978834140977261	0.002052565698396317	rule_a_one_step	True	True	True	stable	True	0.45989399922321067	0.6718959578900017	-0.573690243813389	True	fast_passing	0.5994127156758867	0.35327595556059593	0.8909374981181156	0.0	0.0	500
metastatic::AKT1+TP53	metastatic	AKT1+TP53	2	38	0.003465888361911711	0.004147699294340147	2	0.004147699294340147	0.0	metastatic::TP53	0.0465481685749011	0.003018583350670803	rule_a_one_step	True	True	True	stable	True	0.835617077112018	1.2208198789367606	0.2878503592657376	True	relative_bottleneck	1.0927959424329943	0.8026182874182536	1.514694895548638	0.0	0.0	500
metastatic::NF1+PIK3CA+TP53	metastatic	NF1+PIK3CA+TP53	3	30	0.0027362276541408243	0.003987521487017398	3	0.003987521487017398	0.0	metastatic::PIK3CA+TP53	0.11296155471024326	0.002719979062705602	rule_a_one_step	True	True	True	stable	True	0.6861975947623749	1.002520996171789	0.003632451897868097	True	relative_bottleneck	0.9227505959650404	0.5790953331082129	1.3444360968163909	0.0	0.0	500
primary::CBFB+MAP3K1+PIK3CA	primary	CBFB+MAP3K1+PIK3CA	3	15	0.0013681138270704122	0.003976994965998674	3	0.003976994965998674	0.0	primary::MAP3K1+PIK3CA	0.17218929611112194	0.002481385332502487	rule_a_one_step	True	True	True	stable	True	0.34400692945882433	0.5025872609339096	-0.9925539911586327	True	fast_passing	0.45749449384576196	0.2338924518355589	0.7093591241978006	0.0	0.0	500
primary::ESR1+GATA3	primary	ESR1+GATA3	2	9	0.0008208682962422473	0.003919981486817044	2	0.003919981486817044	0.0	primary::GATA3	0.11455100378313628	0.0034687097095951517	rule_a_one_step	True	True	True	stable	True	0.20940616653252914	0.3059382316101024	-1.7086876901558972	False	fast_passing	0.2671796849418324	0.10682811755348678	0.4930092122164885	0.0	0.0	500
unknown::GATA3	unknown	GATA3	1	6	0.0005472455308281649	0.003879647724371665	1	0.003879647724371665	0.0	unknown::WT	0.10607595423942875	0.003879647724371665	rule_a_one_step	True	True	True	stable	True	0.1410554693534036	0.20607922664115869	-2.2787290103510123	False	fast_passing	0.18338275043030866	0.060561641012837834	0.3502737835540788	0.0	0.0	500
primary::PIK3CA+RUNX1	primary	PIK3CA+RUNX1	2	27	0.002462604888726742	0.0038586393751823085	2	0.0038586393751823085	0.0	primary::PIK3CA	0.05007251855858002	0.0034983171484743066	rule_a_one_step	True	True	True	stable	True	0.6382055042322234	0.9324055093588174	-0.10097056585906243	True	fast_passing	0.8253353810467041	0.5351518908878793	1.1829901955176974	0.0	0.0	500
primary::ESR1+TP53	primary	ESR1+TP53	2	12	0.0010944910616563297	0.0038175384685443675	2	0.0038175384685443675	0.0	primary::TP53	0.026653421023359592	0.003490907751691388	rule_a_one_step	True	True	True	stable	True	0.2867007288565608	0.4188640451238974	-1.2554460448860834	True	fast_passing	0.38397219119321946	0.18840905083992718	0.5968688080570689	0.0	0.0	500
primary::ATM+PIK3CA+TP53	primary	ATM+PIK3CA+TP53	3	13	0.0011856986501276906	0.0038106654693470018	3	0.0038106654693470018	0.0	primary::PIK3CA+TP53	0.06774437658643234	0.0027928181518667838	rule_a_one_step	True	True	True	stable	True	0.31115264757672895	0.4545878105535088	-1.1373690950469895	True	fast_passing	0.4091695594330734	0.2084763591110739	0.6546263900889246	0.0	0.0	500
primary::BRCA1+PIK3CA+TP53	primary	BRCA1+PIK3CA+TP53	3	8	0.0007296607077708865	0.0038055175684647714	3	0.0038055175684647714	0.0	primary::BRCA1+TP53	0.2998278037569149	0.0019962996784252817	rule_a_one_step	True	True	True	stable	True	0.1917375743120035	0.2801247708677802	-1.8358585312250624	False	fast_passing	0.24848390356641376	0.0930302639795833	0.4607346809625763	0.0	0.0	500
