repeat	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	mask	D_true	log2_D_true	truth_level	pilot_count	log2_occupancy_reference
39	s1::E10	s1	E10	1	36	0.0072	0.009315695970345254	1	0.009315695970345254	0.0	s1::WT	0.07921510178865013	0.009315695970345254	rule_a_one_step	True	True	True	stable	True	0.7728891134003235	0.5247393296433015	-0.9303271696771427	True	fast_passing	512	0.5	-1.0	D=0.5	309	2.362570079384708
39	s1::E11+E3	s1	E11+E3	2	55	0.011	0.008861862101899544	2	0.008861862101899544	0.0	s1::E11	0.2621165515068501	0.008440152958520573	rule_a_one_step	True	True	True	stable	True	1.2412741105958836	0.8427410004936894	-0.24683877892225436	True	fast_passing	1028	4.0	2.0	D=4	119	2.9740047914670553
39	s1::E2	s1	E2	1	73	0.0146	0.008760693478760117	1	0.008760693478760117	0.0	s1::WT	0.07449569284659964	0.008760693478760117	rule_a_one_step	True	True	True	stable	True	1.6665347365172025	1.131464145768555	0.17819086870426706	True	relative_bottleneck	2	2.0	1.0	D=2	282	3.382469636822413
39	s1::E15	s1	E15	1	39	0.0078	0.008047088560078096	1	0.008047088560078096	0.0	s1::WT	0.0684276238101879	0.008047088560078096	rule_a_one_step	True	True	True	stable	True	0.9692946636286313	0.6580853879305069	-0.6036533061372528	True	fast_passing	16384	1.0	0.0	D=1	290	2.478047296804644
39	s1::E13	s1	E13	1	11	0.0022	0.007088658286953601	1	0.007088658286953601	0.0	s1::WT	0.0602777065217143	0.007088658286953601	rule_a_one_step	True	True	True	stable	True	0.31035492340470966	0.2107099603750446	-2.2466695821367795	True	fast_passing	4096	0.25	-2.0	D=0.25	236	0.6520766965796934
39	s1::E11+E7	s1	E11+E7	2	8	0.0016	0.004755542197407428	2	0.004755542197407428	0.0	s1::E11	0.09103279043999091	0.0029312558521677073	rule_a_one_step	True	True	True	stable	True	0.3364495431321838	0.2284264387490896	-2.1301984527473814	False	fast_passing	1088	0.5	-1.0	D=0.5	83	0.1926450779423961
39	s1::E11+E3+E7	s1	E11+E3+E7	3	12	0.0024	0.0035240388429305025	3	0.0035240388429305025	0.0	s1::E11+E3	0.19534035922021886	0.0021487439514224073	rule_a_one_step	True	True	True	stable	True	0.6810367610259321	0.4623778071746396	-1.1128559406635037	True	fast_passing	1092	2.0	1.0	D=2	51	0.777607578663552
39	s1::E11+E15	s1	E11+E15	2	18	0.0036	0.0033614844642955357	2	0.0033614844642955357	0.0	s1::E11	0.07251366566216937	0.0023349400343218537	rule_a_one_step	True	True	True	stable	True	1.0709554178122593	0.7271061505165608	-0.4597620957430496	True	fast_passing	17408	2.0	1.0	D=2	67	1.3625700793847082
39	s1::E11+E4	s1	E11+E4	2	5	0.001	0.0031229672201280845	2	0.0031229672201280845	0.0	s1::E11	0.08628872097850163	0.002778496815507752	rule_a_one_step	True	True	True	stable	True	0.3202082920482201	0.21739972992552595	-2.201577946773044	False	fast_passing	1032	0.25	-2.0	D=0.25	80	-0.4854268271702417
39	s1::E11+E8	s1	E11+E8	2	7	0.0014	0.0031169966057094404	2	0.0031169966057094404	0.0	s1::E11	0.052619080671803604	0.001694334397632076	rule_a_one_step	True	True	True	stable	True	0.44915031251123366	0.30494262347585743	-1.7133902771751124	False	fast_passing	1152	1.0	0.0	D=1	61	0.0
39	s1::E11+E3+E6	s1	E11+E3+E6	3	19	0.0038	0.0029601001153860933	3	0.0029601001153860933	0.0	s1::E11+E3	0.22903928827948397	0.0025194321710743234	rule_a_one_step	True	True	True	stable	True	1.283740363700711	0.871572708432559	-0.1983070728546633	True	fast_passing	1060	4.0	2.0	D=4	63	1.4405725913859815
39	s1::E4+E7	s1	E4+E7	2	16	0.0032	0.002737466103264553	2	0.002737466103264553	0.0	s1::E7	0.27657088211048614	0.002489137938994375	rule_a_one_step	True	True	True	stable	True	1.1689642458092504	0.7936475027113208	-0.33342971599338705	True	fast_passing	72	1.0	0.0	D=1	93	1.192645077942396
39	s1::E10+E4	s1	E10+E4	2	31	0.0062	0.002160389502757648	2	0.002160389502757648	0.0	s1::E10	0.2682493457464191	0.0019313952893742175	rule_a_one_step	True	True	True	stable	True	2.8698528618177894	1.9484356045071793	0.9623162514487789	True	relative_bottleneck	520	2.0	1.0	D=2	119	2.146841388329271
39	s1::E11+E3+E4+E7	s1	E11+E3+E4+E7	4	5	0.001	0.0020832499212372732	4	0.0020832499212372732	0.0	s1::E11+E4+E7	0.3114706265295737	0.0008721177542828063	rule_a_one_step	True	True	True	stable	True	0.48001921868599706	0.3259005187963177	-1.617496446203708	False	fast_passing	1100	0.5	-1.0	D=0.5	64	-0.4854268271702417
39	s1::E10+E6	s1	E10+E6	2	27	0.0054	0.0020005554089355367	2	0.0020005554089355367	0.0	s1::E6	0.23491577634558825	0.00159742727915	rule_a_one_step	True	True	True	stable	True	2.699250404753349	1.8326080978139572	0.8738982993580264	True	relative_bottleneck	544	4.0	2.0	D=4	82	1.9475325801058645
39	s1::E14+E4	s1	E14+E4	2	10	0.002	0.001910227663410703	2	0.001910227663410703	0.0	s1::E14	0.23390430859547584	0.0017776727453256164	rule_a_one_step	True	True	True	stable	True	1.0469956211303177	0.7108390723144129	-0.49240511148785515	True	fast_passing	8200	1.0	0.0	D=1	64	0.5145731728297582
39	s1::E11+E4+E7	s1	E11+E4+E7	3	14	0.0028	0.0014692650966195047	3	0.0014692650966195047	0.0	s1::E4+E7	0.2661270106894724	0.0008516064342063118	rule_a_one_step	True	True	True	stable	True	1.905714635525301	1.2938510880784215	0.37167158421358676	True	relative_bottleneck	1096	2.0	1.0	D=2	81	1.0
39	s1::E3+E7	s1	E3+E7	2	27	0.0054	0.001336055388847051	2	0.001336055388847051	0.0	s1::E3	0.1625527354773287	0.000747742583195712	rule_a_one_step	True	True	True	stable	True	4.041748598924617	2.744073391143678	1.456319067379204	True	relative_bottleneck	68	4.0	2.0	D=4	67	1.9475325801058645
39	s1::E10+E4+E7	s1	E10+E4+E7	3	5	0.001	0.0010979790100535385	3	0.0010979790100535385	0.0	s1::E10+E4	0.09658794451683317	0.0005988452560043656	rule_a_one_step	True	True	True	stable	True	0.9107642222053725	0.6183471847864043	-0.6935109960333027	False	fast_passing	584	0.5	-1.0	D=0.5	60	-0.4854268271702417
40	s1::E11	s1	E11	1	166	0.0332	0.015085826111802493	1	0.015085826111802493	0.0	s1::WT	0.11916134369512238	0.015085826111802493	rule_a_one_step	True	True	True	stable	True	2.200741262145732	1.420187045240241	0.5060809518916033	True	relative_bottleneck	1024	4.0	2.0	D=4	414	4.567684509289321
40	s1::E7	s1	E7	1	39	0.0078	0.010875347938735267	1	0.010875347938735267	0.0	s1::WT	0.08590322226489153	0.010875347938735267	rule_a_one_step	True	True	True	stable	True	0.717218432295038	0.46283692848099905	-1.1114241171944346	True	fast_passing	64	1.0	0.0	D=1	239	2.478047296804644
40	s1::E3	s1	E3	1	18	0.0036	0.010827295186873665	1	0.010827295186873665	0.0	s1::WT	0.08552365866408898	0.010827295186873665	rule_a_one_step	True	True	True	stable	True	0.3324930130317239	0.21456510034266804	-2.220512658387957	True	fast_passing	4	0.5	-1.0	D=0.5	263	1.3625700793847082
40	s1::E4	s1	E4	1	15	0.003	0.010308591654655027	1	0.010308591654655027	0.0	s1::WT	0.08142647436536357	0.010308591654655027	rule_a_one_step	True	True	True	stable	True	0.2910193846270239	0.1878012500016086	-2.4127214293125	True	fast_passing	8	0.25	-2.0	D=0.25	278	1.0995356735509143
40	s1::E10	s1	E10	1	25	0.005	0.010028631886443106	1	0.010028631886443106	0.0	s1::WT	0.07921510178865013	0.010028631886443106	rule_a_one_step	True	True	True	stable	True	0.4985724928502483	0.3217398644894256	-1.6360333937798772	True	fast_passing	512	0.5	-1.0	D=0.5	309	1.8365012677171206
40	s1::E2	s1	E2	1	59	0.0118	0.009431154714379514	1	0.009431154714379514	0.0	s1::WT	0.07449569284659964	0.009431154714379514	rule_a_one_step	True	True	True	stable	True	1.2511723491035065	0.8074092089440429	-0.3086280532483586	True	fast_passing	2	2.0	1.0	D=2	282	3.0752881273042374
