repeat	truth_states_evaluable	spearman_R_star	spearman_R_star_p	spearman_occupancy	spearman_occupancy_p	spearman_gain	kendall_R_star	kendall_R_star_p	kendall_occupancy	kendall_occupancy_p	kendall_gain	pairwise_concordance_R_star	pairwise_concordance_occupancy	median_abs_error_log2_R_star	median_abs_error_log2_occupancy	absolute_error_gain	calibration_slope_R_star	calibration_slope_occupancy	calibration_slope_gain	adjacent_ordered_levels_R_star	adjacent_ordered_levels_occupancy	adjacent_level_comparisons
37	23	0.8185490915121426	1.8105745021355548e-06	0.6649581822915774	0.000536730736664617	0.15359090922056517	0.6681143701449648	3.035279597027278e-05	0.5226786225929387	0.0011461336561258354	0.14543574755202604	0.8666666666666667	0.7884615384615384	0.8857594547630008	1.362570079384708	0.4768106246217072	0.7429788718289135	0.6115296733539222	0.13144919847499137	4	4	4
38	21	0.7452098583078827	0.0001060554148110693	0.4803182659397653	0.027536767565888246	0.2648915923681174	0.6173020735647721	0.0002520204308744453	0.37592983496739796	0.02733327768453213	0.2413722385973741	0.8390804597701149	0.7100591715976331	0.843137768458168	1.0	0.156862231541832	0.6432749819959411	0.4406975455530751	0.20257743644286602	4	2	4
39	23	0.8680052018501142	8.0624079068485e-08	0.5812144384414775	0.0036309622320597106	0.28679076340863674	0.737528850160026	4.141869964380466e-06	0.4513378304259229	0.005198191317785251	0.2861910197341031	0.9047619047619048	0.748792270531401	0.6283284157864133	1.1468413883292712	0.5185129725428579	0.6842891841230451	0.5566189211446554	0.12767026297838968	4	3	4
40	22	0.685277131101252	0.0004324959550681268	0.5904785430870724	0.0038133379368597317	0.09479858801417962	0.5792995970031596	0.00041759884353311324	0.45026097832811657	0.006476513302275284	0.12903861867504302	0.8177083333333334	0.75	0.8865958226789123	1.3536091253860771	0.4670133027071648	0.5860120773378497	0.5210854215512499	0.06492665578659973	4	3	4
41	21	0.7047492249891428	0.0003608768095967716	0.4548403103674517	0.03829809939835006	0.24990891462169113	0.5718653711779951	0.000712218276180092	0.3333140649536916	0.0529342949325675	0.23855130622430348	0.815028901734104	0.6867469879518072	0.737674150871523	1.0995356735509143	0.3618615226793913	0.6470400700948187	0.3578074550982536	0.28923261499656505	4	2	4
42	20	0.7563066588702485	0.0001141585470521907	0.36981187979954555	0.10852577234664533	0.38649477907070295	0.6156966145656353	0.00039630893423508686	0.28536642777429994	0.10135165956647457	0.33033018679133536	0.8397435897435898	0.6580645161290323	1.1290966575544974	1.0963225389711981	-0.03277411858329926	0.7611499394488237	0.41241130901707046	0.34873863043175324	4	3	4
43	21	0.7838672983605656	2.6193786743479908e-05	0.5239239197478122	0.014776774339515146	0.2599433786127534	0.6558089119013706	0.00010373387477122074	0.4025843892537883	0.018087350946870577	0.2532245226475823	0.861271676300578	0.7235294117647059	0.9412257922445	1.192645077942396	0.25141928569789607	0.7506150970637819	0.47940696935781335	0.2712081277059686	4	4	4
44	21	0.785197013879413	2.4841388646631674e-05	0.6064735589456886	0.0035606907509264834	0.17872345493372443	0.6453159693109486	0.0001336785147565588	0.46085318243525764	0.0068107732488558075	0.18446278687569095	0.8554913294797688	0.757396449704142	0.7982788422764295	1.2370391973008492	0.4387603550244197	0.8476082672478916	0.5207949920101187	0.3268132752377729	4	3	4
45	20	0.7786643480723251	5.24855057895614e-05	0.49589805831206707	0.026170820396614527	0.282766289760258	0.638930449077546	0.00023672470720816484	0.3571467747723467	0.041207552327625206	0.28178367430519935	0.8525641025641025	0.6993464052287581	0.9430599639602899	1.0963225389711981	0.15326257501090823	0.8100218135974835	0.42950619528370676	0.3805156183137767	3	3	4
46	21	0.7292695404831152	0.00017620858946619194	0.4891541490516668	0.024423337340575866	0.2401153914314484	0.5754510855264825	0.0006447652633750591	0.3679524918397825	0.029777535276381998	0.20749859368669998	0.8160919540229885	0.7034883720930233	0.7900143589840055	1.2801079191927354	0.49009356020872985	0.6877402430468549	0.4757303572256982	0.2120098858211567	4	3	4
47	20	0.8033349016746166	1.9968151347923393e-05	0.49490174333354847	0.02652042970153725	0.30843315834106816	0.6505473663335013	0.00018179992750142827	0.3728659327199284	0.034598495647503384	0.2776814336135729	0.8589743589743589	0.7086092715231788	0.9044059102881861	0.9737662900529322	0.06936037976474618	0.7590950468630454	0.40686625208395416	0.35222879477909125	3	2	4
48	23	0.7317485713271311	7.242969681237696e-05	0.530057388378657	0.009279443706897761	0.2016911829484741	0.5986998901299034	0.00018587907000998749	0.4188233784685352	0.009885579735926174	0.17987651166136825	0.8285714285714286	0.7339901477832512	0.9687526520205556	0.777607578663552	-0.1911450733570036	0.6035672008410592	0.4950430528123441	0.10852414802871507	4	2	4
49	23	0.7476318019542021	4.122686253453187e-05	0.5281176024114121	0.00958896083820416	0.21951419954278995	0.6016075972786145	0.00016962764409962912	0.41697961506949105	0.009989346438505785	0.1846279822091234	0.8293838862559242	0.7317073170731707	0.9668487305042592	1.362570079384708	0.39572134888044874	0.6097644775464738	0.4674635973929013	0.1423008801535725	4	4	4
50	21	0.8448368447126798	1.44946154390302e-06	0.41046588654409305	0.06456890413239272	0.4343709581685868	0.7323922906700686	1.4080136201130031e-05	0.32298197088748276	0.057970801024923	0.40941031978258585	0.9022988505747126	0.6804733727810651	0.9092485900388501	1.106915203916512	0.19766661387766193	0.6878849272135693	0.43002602951723856	0.25785889769633075	4	3	4
51	22	0.8664025681094953	1.8619412158721017e-07	0.5708440487448128	0.0055274241318644755	0.2955585193646826	0.7312470322826768	8.418045374463326e-06	0.4454709679203707	0.007067160273415164	0.2857760643623061	0.9010416666666666	0.746031746031746	0.7800811298824227	0.946542398041744	0.16646126815932127	0.817353961965744	0.6208488141409545	0.19650514782478945	4	3	4
52	22	0.6766246420721957	0.0005445599257241109	0.5478092734965618	0.008310181052889994	0.12881536857563392	0.5508094528882501	0.0007931856516131644	0.41857894516247873	0.01158953169613851	0.13223050772577138	0.8020833333333334	0.732620320855615	0.7508667767819919	1.1805690619457883	0.4297022851637964	0.6120287634408789	0.5177387976094981	0.09428996583138072	4	3	4
53	23	0.7014693200998016	0.00019181433038391448	0.595598657866929	0.0027121559501356884	0.10587066223287256	0.5466390301186075	0.0006437575710163763	0.45502228201182016	0.005132755264961423	0.09161674810678733	0.8	0.7536945812807881	0.9712569332225371	1.0	0.028743066777462856	0.6626431936307965	0.5467111715333627	0.1159320220974338	4	2	4
54	22	0.8017973166925423	7.239173695634578e-06	0.6187753143450347	0.0021400796253739644	0.18302200234750754	0.6552733146429183	6.566066497744128e-05	0.45984099914360843	0.0054266025698366345	0.19543231549930984	0.859375	0.7553191489361702	0.6280816234222373	1.5437314206251695	0.9156497972029323	0.6939721191733613	0.520835564281325	0.17313655489203628	4	2	4
55	22	0.8052583123041647	6.164306300718839e-06	0.46256558729852804	0.030185433434276116	0.34269272500563663	0.6552733146429183	6.566066497744128e-05	0.3592507805809441	0.02983237987019558	0.29602253406197415	0.859375	0.6984126984126984	0.8337419580015379	1.4587689199040135	0.6250269619024755	0.6876297759957278	0.436615545055345	0.25101423094038283	4	3	4
56	21	0.7638068957701114	5.5900575334585925e-05	0.3516938980392212	0.1179569703810566	0.4121129977308902	0.6277648205743445	0.00019746691078452222	0.2898030104835613	0.08762367776499407	0.3379618100907832	0.8448275862068966	0.6608187134502924	0.7609906172854626	1.5145731728297582	0.7535825555442957	0.609377207745091	0.3533901746493717	0.25598703309571924	4	2	4
57	19	0.6567038663675382	0.002255640938997424	0.45800746625814914	0.048611582684065006	0.19869640010938905	0.5513323429963477	0.0021178964239763646	0.36539406350476594	0.04563667071487335	0.18593827949158176	0.8057553956834532	0.706766917293233	0.873765884021235	1.3219280948873626	0.4481622108661276	0.7007054844698225	0.31223797507214995	0.38846750939767255	4	3	4
58	21	0.7518516574015358	8.490621879634186e-05	0.5047685209733517	0.01961027643965948	0.24708313642818414	0.6068393265551996	0.0003204755352815874	0.41198970932441986	0.015379380771998413	0.1948496172307797	0.8333333333333334	0.7294117647058823	0.9989083991127388	1.5145731728297582	0.5156647737170195	0.6302042418997724	0.4396348657790082	0.19056937612076424	4	2	4
59	23	0.7496483408670926	3.8268711594944204e-05	0.5717634651001842	0.004367135501615541	0.17788487576690848	0.5669826995935143	0.0003941143863326763	0.43631390492915445	0.007182653934235996	0.13066879466435988	0.8104265402843602	0.7414634146341463	0.6943817808202459	1.115477217419936	0.4210954365996902	0.6410540485642547	0.53196042780044	0.10909362076381479	3	4	4
60	21	0.830224886706643	3.2087915300801595e-06	0.6083174228844752	0.0034342141799996125	0.22190746382216775	0.6905413026317789	4.231556876003239e-05	0.49003054499947624	0.0038746803097434094	0.2005107576323027	0.8793103448275862	0.7719298245614035	0.9435536267737208	1.0	0.05644637322627921	0.7213968373303546	0.5306881110917545	0.19070872623860013	4	3	4
