state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::APC+ARID1A+BRAF+NRAS+RNF43+TCF7L2+TGFBR2	primary	APC+ARID1A+BRAF+NRAS+RNF43+TCF7L2+TGFBR2	7	1	7.878358150161507e-05	2.8515011058880202e-05	1	2.8515011058880202e-05	0.0	primary::APC+ARID1A+BRAF+NRAS+RNF43+TGFBR2	0.36194103537036637	2.8515011058880202e-05	rule_a_one_step	False	True	False	rare_state	False	2.762880876183257	2.524599159051786	1.3360543434467773	False	relative_bottleneck	2.095168935897268	0.0	184619307.08825994	0.0	0.0	500
unknown::APC+FBXW7+KRAS+SOX9+TP53	unknown	APC+FBXW7+KRAS+SOX9+TP53	5	1	7.878358150161507e-05	2.836450781032185e-05	1	2.836450781032185e-05	0.0	unknown::APC+FBXW7+KRAS+TP53	0.1800153488182076	2.836450781032185e-05	rule_a_one_step	False	True	False	rare_state	False	2.777540835572154	2.5379947858643574	1.343689105264377	False	relative_bottleneck	1.5083061000403184	0.0	121426872.11187842	0.0	0.0	500
primary::APC+ARID1A+PIK3CA+PTEN+RNF43	primary	APC+ARID1A+PIK3CA+PTEN+RNF43	5	1	7.878358150161507e-05	2.8288759887193345e-05	2	2.8288759887193345e-05	0.0	primary::ARID1A+PIK3CA+PTEN+RNF43	0.1684676952346959	2.6544976795823827e-05	rule_a_one_step	False	True	False	rare_state	False	2.78497816909617	2.544790694483573	1.347547001507925	False	relative_bottleneck	1.8785238177967063	0.0	142.59013943809015	0.0	0.0	500
primary::APC+ARID1A+FBXW7+KRAS+PIK3CA+PTEN+TCF7L2+TP53	primary	APC+ARID1A+FBXW7+KRAS+PIK3CA+PTEN+TCF7L2+TP53	8	1	7.878358150161507e-05	2.82632699273043e-05	2	2.82632699273043e-05	0.0	primary::APC+ARID1A+FBXW7+PIK3CA+PTEN+TCF7L2+TP53	0.3491156694175131	2.7504582795045546e-05	rule_a_one_step	False	True	False	rare_state	False	2.7874898734917695	2.5470857796099633	1.3488475468653536	False	relative_bottleneck	1.5976107614223287	0.0	126224332.87022236	0.006	0.0	500
primary::APC+ARID1A+KRAS+RNF43+SOX9+TCF7L2+TGFBR2	primary	APC+ARID1A+KRAS+RNF43+SOX9+TCF7L2+TGFBR2	7	1	7.878358150161507e-05	2.8022479426618326e-05	1	2.8022479426618326e-05	0.0	primary::APC+ARID1A+KRAS+RNF43+SOX9+TCF7L2	0.3556893313620664	2.8022479426618326e-05	rule_a_one_step	False	True	False	rare_state	False	2.8114421101273814	2.5689722811196525	1.3611913238288589	False	relative_bottleneck	2.086210881939625	0.0	185882718.7674563	0.0	0.0	500
metastatic::APC+PIK3CA+PTEN+SMAD4+TP53	metastatic	APC+PIK3CA+PTEN+SMAD4+TP53	5	2	0.00015756716300323014	2.7980502848178657e-05	3	2.7980502848178657e-05	0.0	metastatic::PIK3CA+PTEN+SMAD4+TP53	0.28203107549987133	2.2219418222632265e-05	rule_a_one_step	False	True	False	rare_state	False	5.63131971669219	5.145652548275073	2.3633540447507393	False	relative_bottleneck	5.32306596569269	0.0	186.61311703842713	0.054	0.0	500
primary::APC+ARID1A+BRAF+FBXW7+RNF43+SOX9+TGFBR2+TP53	primary	APC+ARID1A+BRAF+FBXW7+RNF43+SOX9+TGFBR2+TP53	8	1	7.878358150161507e-05	2.792613780021406e-05	2	2.792613780021406e-05	0.0	primary::APC+ARID1A+BRAF+FBXW7+RNF43+TGFBR2+TP53	0.32932805915923125	2.5945643989540005e-05	rule_a_one_step	False	True	False	rare_state	False	2.821141227766553	2.5778349086930943	1.3661598726846977	False	relative_bottleneck	1.9819330280599798	0.0	125066554.94945459	0.002	0.0	500
primary::APC+ARID1A+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	primary	APC+ARID1A+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	7	1	7.878358150161507e-05	2.7923469755908763e-05	1	2.7923469755908763e-05	0.0	primary::APC+ARID1A+PIK3CA+RNF43+TGFBR2+TP53	0.3544326016117499	2.7923469755908763e-05	rule_a_one_step	False	True	False	rare_state	False	2.821410783433647	2.578081216818909	1.3662977133722745	False	relative_bottleneck	2.1087934005208027	0.0	182682759.32869804	0.004	0.0	500
primary::ARID1A+RNF43+TCF7L2+TP53	primary	ARID1A+RNF43+TCF7L2+TP53	4	2	0.00015756716300323014	2.7912436030064627e-05	2	2.7912436030064627e-05	0.0	primary::ARID1A+RNF43+TP53	0.1096209501512736	1.7272662121054694e-05	rule_a_one_step	False	True	False	rare_state	False	5.645052161999103	5.158200653469334	2.3668678949058526	False	relative_bottleneck	3.9860961495947955	0.0	62481728.86827331	0.024	0.0	500
metastatic::PTEN+SMAD4	metastatic	PTEN+SMAD4	2	1	7.878358150161507e-05	2.776398591452547e-05	2	2.776398591452547e-05	0.0	metastatic::SMAD4	0.019783967886541902	2.026247400339122e-05	rule_a_one_step	False	True	False	rare_state	False	2.8376177291885027	2.5928904118067257	1.374561232151864	False	relative_bottleneck	1.9054399737018217	0.0	8.417397854157311	0.002	0.0	500
