state	stage	genotype	event_count	N_v	L_v
primary::APC+ARID1A+BRAF+PIK3CA+RNF43+TCF7L2+TGFBR2	primary	APC+ARID1A+BRAF+PIK3CA+RNF43+TCF7L2+TGFBR2	7	2	0.00015756716300323014
primary::APC+ARID1A+BRAF+PIK3CA+SOX9+TCF7L2+TGFBR2	primary	APC+ARID1A+BRAF+PIK3CA+SOX9+TCF7L2+TGFBR2	7	2	0.00015756716300323014
primary::APC+ARID1A+BRAF+PTEN+RNF43+TCF7L2+TP53	primary	APC+ARID1A+BRAF+PTEN+RNF43+TCF7L2+TP53	7	2	0.00015756716300323014
primary::APC+ARID1A+BRAF+RNF43	primary	APC+ARID1A+BRAF+RNF43	4	2	0.00015756716300323014
primary::APC+ARID1A+BRAF+SOX9	primary	APC+ARID1A+BRAF+SOX9	4	2	0.00015756716300323014
primary::APC+ARID1A+BRAF+TP53	primary	APC+ARID1A+BRAF+TP53	4	2	0.00015756716300323014
primary::APC+ARID1A+CTNNB1+KRAS+PIK3CA+RNF43	primary	APC+ARID1A+CTNNB1+KRAS+PIK3CA+RNF43	6	2	0.00015756716300323014
primary::APC+ARID1A+CTNNB1+KRAS+PIK3CA+TCF7L2	primary	APC+ARID1A+CTNNB1+KRAS+PIK3CA+TCF7L2	6	2	0.00015756716300323014
primary::APC+ARID1A+CTNNB1+KRAS+SOX9	primary	APC+ARID1A+CTNNB1+KRAS+SOX9	5	2	0.00015756716300323014
primary::APC+ARID1A+CTNNB1+RNF43+TCF7L2	primary	APC+ARID1A+CTNNB1+RNF43+TCF7L2	5	2	0.00015756716300323014
primary::APC+ARID1A+CTNNB1+TP53	primary	APC+ARID1A+CTNNB1+TP53	4	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7	primary	APC+ARID1A+FBXW7	3	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+KRAS	primary	APC+ARID1A+FBXW7+KRAS	4	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+KRAS+PIK3CA	primary	APC+ARID1A+FBXW7+KRAS+PIK3CA	5	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+KRAS+PIK3CA+PTEN+RNF43+TCF7L2	primary	APC+ARID1A+FBXW7+KRAS+PIK3CA+PTEN+RNF43+TCF7L2	8	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+KRAS+PIK3CA+RNF43+SOX9+TP53	primary	APC+ARID1A+FBXW7+KRAS+PIK3CA+RNF43+SOX9+TP53	8	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+KRAS+PIK3CA+RNF43+TCF7L2	primary	APC+ARID1A+FBXW7+KRAS+PIK3CA+RNF43+TCF7L2	7	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+KRAS+PIK3CA+TCF7L2	primary	APC+ARID1A+FBXW7+KRAS+PIK3CA+TCF7L2	6	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+KRAS+PIK3CA+TP53	primary	APC+ARID1A+FBXW7+KRAS+PIK3CA+TP53	6	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+PIK3CA+RNF43+SMAD4+TCF7L2+TGFBR2+TP53	primary	APC+ARID1A+FBXW7+PIK3CA+RNF43+SMAD4+TCF7L2+TGFBR2+TP53	9	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+PIK3CA+TCF7L2	primary	APC+ARID1A+FBXW7+PIK3CA+TCF7L2	5	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+PIK3CA+TCF7L2+TP53	primary	APC+ARID1A+FBXW7+PIK3CA+TCF7L2+TP53	6	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+RNF43+TCF7L2	primary	APC+ARID1A+FBXW7+RNF43+TCF7L2	5	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+RNF43+TGFBR2	primary	APC+ARID1A+FBXW7+RNF43+TGFBR2	5	2	0.00015756716300323014
primary::APC+ARID1A+FBXW7+SOX9+TCF7L2+TP53	primary	APC+ARID1A+FBXW7+SOX9+TCF7L2+TP53	6	2	0.00015756716300323014
primary::APC+ARID1A+KRAS+PIK3CA+RNF43+TCF7L2	primary	APC+ARID1A+KRAS+PIK3CA+RNF43+TCF7L2	6	2	0.00015756716300323014
primary::APC+ARID1A+KRAS+PIK3CA+SMAD4+TCF7L2	primary	APC+ARID1A+KRAS+PIK3CA+SMAD4+TCF7L2	6	2	0.00015756716300323014
primary::APC+ARID1A+KRAS+PIK3CA+SMAD4+TP53	primary	APC+ARID1A+KRAS+PIK3CA+SMAD4+TP53	6	2	0.00015756716300323014
primary::APC+ARID1A+KRAS+PIK3CA+SOX9+TCF7L2	primary	APC+ARID1A+KRAS+PIK3CA+SOX9+TCF7L2	6	2	0.00015756716300323014
primary::APC+ARID1A+KRAS+PIK3CA+SOX9+TP53	primary	APC+ARID1A+KRAS+PIK3CA+SOX9+TP53	6	2	0.00015756716300323014
primary::APC+ARID1A+KRAS+PIK3CA+TCF7L2+TGFBR2	primary	APC+ARID1A+KRAS+PIK3CA+TCF7L2+TGFBR2	6	2	0.00015756716300323014
primary::APC+ARID1A+KRAS+PTEN	primary	APC+ARID1A+KRAS+PTEN	4	2	0.00015756716300323014
primary::APC+ARID1A+KRAS+SMAD4	primary	APC+ARID1A+KRAS+SMAD4	4	2	0.00015756716300323014
primary::APC+ARID1A+NRAS+TCF7L2+TP53	primary	APC+ARID1A+NRAS+TCF7L2+TP53	5	2	0.00015756716300323014
primary::APC+ARID1A+PIK3CA+RNF43	primary	APC+ARID1A+PIK3CA+RNF43	4	2	0.00015756716300323014
primary::APC+ARID1A+RNF43+SMAD4	primary	APC+ARID1A+RNF43+SMAD4	4	2	0.00015756716300323014
primary::APC+ARID1A+RNF43+TGFBR2	primary	APC+ARID1A+RNF43+TGFBR2	4	2	0.00015756716300323014
primary::APC+BRAF+FBXW7+NRAS+TP53	primary	APC+BRAF+FBXW7+NRAS+TP53	5	2	0.00015756716300323014
primary::APC+BRAF+FBXW7+PTEN+TP53	primary	APC+BRAF+FBXW7+PTEN+TP53	5	2	0.00015756716300323014
primary::APC+BRAF+FBXW7+SMAD4+TP53	primary	APC+BRAF+FBXW7+SMAD4+TP53	5	2	0.00015756716300323014
primary::APC+BRAF+FBXW7+SOX9+TP53	primary	APC+BRAF+FBXW7+SOX9+TP53	5	2	0.00015756716300323014
primary::APC+BRAF+KRAS+PIK3CA+TP53	primary	APC+BRAF+KRAS+PIK3CA+TP53	5	2	0.00015756716300323014
primary::APC+BRAF+KRAS+SMAD4+TP53	primary	APC+BRAF+KRAS+SMAD4+TP53	5	2	0.00015756716300323014
primary::APC+BRAF+NRAS	primary	APC+BRAF+NRAS	3	2	0.00015756716300323014
primary::APC+BRAF+PIK3CA+SMAD4+SOX9	primary	APC+BRAF+PIK3CA+SMAD4+SOX9	5	2	0.00015756716300323014
primary::APC+BRAF+PIK3CA+SOX9	primary	APC+BRAF+PIK3CA+SOX9	4	2	0.00015756716300323014
primary::APC+BRAF+PIK3CA+SOX9+TP53	primary	APC+BRAF+PIK3CA+SOX9+TP53	5	2	0.00015756716300323014
primary::APC+BRAF+RNF43+TGFBR2	primary	APC+BRAF+RNF43+TGFBR2	4	2	0.00015756716300323014
primary::APC+BRAF+RNF43+TP53	primary	APC+BRAF+RNF43+TP53	4	2	0.00015756716300323014
primary::APC+BRAF+SOX9+TP53	primary	APC+BRAF+SOX9+TP53	4	2	0.00015756716300323014
primary::APC+BRAF+TCF7L2+TP53	primary	APC+BRAF+TCF7L2+TP53	4	2	0.00015756716300323014
primary::APC+BRAF+TGFBR2	primary	APC+BRAF+TGFBR2	3	2	0.00015756716300323014
primary::APC+CTNNB1+KRAS+PIK3CA+SMAD4	primary	APC+CTNNB1+KRAS+PIK3CA+SMAD4	5	2	0.00015756716300323014
primary::APC+CTNNB1+KRAS+PTEN+TP53	primary	APC+CTNNB1+KRAS+PTEN+TP53	5	2	0.00015756716300323014
primary::APC+CTNNB1+KRAS+SMAD4+TP53	primary	APC+CTNNB1+KRAS+SMAD4+TP53	5	2	0.00015756716300323014
primary::APC+CTNNB1+NRAS+TP53	primary	APC+CTNNB1+NRAS+TP53	4	2	0.00015756716300323014
primary::APC+CTNNB1+PIK3CA+TP53	primary	APC+CTNNB1+PIK3CA+TP53	4	2	0.00015756716300323014
primary::APC+CTNNB1+SMAD4+TP53	primary	APC+CTNNB1+SMAD4+TP53	4	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+PIK3CA+PTEN	primary	APC+FBXW7+KRAS+PIK3CA+PTEN	5	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+PIK3CA+PTEN+SMAD4+SOX9	primary	APC+FBXW7+KRAS+PIK3CA+PTEN+SMAD4+SOX9	7	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+PIK3CA+PTEN+SMAD4+TP53	primary	APC+FBXW7+KRAS+PIK3CA+PTEN+SMAD4+TP53	7	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+PIK3CA+PTEN+TGFBR2	primary	APC+FBXW7+KRAS+PIK3CA+PTEN+TGFBR2	6	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+PIK3CA+SMAD4+SOX9	primary	APC+FBXW7+KRAS+PIK3CA+SMAD4+SOX9	6	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+PTEN+TCF7L2	primary	APC+FBXW7+KRAS+PTEN+TCF7L2	5	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+RNF43+SOX9+TGFBR2	primary	APC+FBXW7+KRAS+RNF43+SOX9+TGFBR2	6	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+SMAD4+SOX9	primary	APC+FBXW7+KRAS+SMAD4+SOX9	5	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+SMAD4+TCF7L2	primary	APC+FBXW7+KRAS+SMAD4+TCF7L2	5	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+SOX9+TCF7L2	primary	APC+FBXW7+KRAS+SOX9+TCF7L2	5	2	0.00015756716300323014
primary::APC+FBXW7+KRAS+TCF7L2	primary	APC+FBXW7+KRAS+TCF7L2	4	2	0.00015756716300323014
primary::APC+FBXW7+NRAS	primary	APC+FBXW7+NRAS	3	2	0.00015756716300323014
primary::APC+FBXW7+PIK3CA+SMAD4+TP53	primary	APC+FBXW7+PIK3CA+SMAD4+TP53	5	2	0.00015756716300323014
primary::APC+FBXW7+RNF43+SOX9+TGFBR2	primary	APC+FBXW7+RNF43+SOX9+TGFBR2	5	2	0.00015756716300323014
primary::APC+FBXW7+SMAD4+SOX9+TP53	primary	APC+FBXW7+SMAD4+SOX9+TP53	5	2	0.00015756716300323014
primary::APC+KRAS+NRAS+PTEN+TP53	primary	APC+KRAS+NRAS+PTEN+TP53	5	2	0.00015756716300323014
primary::APC+KRAS+NRAS+SMAD4+TP53	primary	APC+KRAS+NRAS+SMAD4+TP53	5	2	0.00015756716300323014
primary::APC+KRAS+PIK3CA+PTEN+SMAD4+TP53	primary	APC+KRAS+PIK3CA+PTEN+SMAD4+TP53	6	2	0.00015756716300323014
primary::APC+KRAS+PIK3CA+PTEN+SOX9+TP53	primary	APC+KRAS+PIK3CA+PTEN+SOX9+TP53	6	2	0.00015756716300323014
primary::APC+KRAS+PIK3CA+RNF43	primary	APC+KRAS+PIK3CA+RNF43	4	2	0.00015756716300323014
primary::APC+KRAS+PIK3CA+RNF43+SMAD4+TCF7L2	primary	APC+KRAS+PIK3CA+RNF43+SMAD4+TCF7L2	6	2	0.00015756716300323014
primary::APC+KRAS+PIK3CA+SMAD4+TCF7L2+TP53	primary	APC+KRAS+PIK3CA+SMAD4+TCF7L2+TP53	6	2	0.00015756716300323014
primary::APC+KRAS+PTEN+SMAD4+TCF7L2	primary	APC+KRAS+PTEN+SMAD4+TCF7L2	5	2	0.00015756716300323014
primary::APC+KRAS+PTEN+SMAD4+TCF7L2+TP53	primary	APC+KRAS+PTEN+SMAD4+TCF7L2+TP53	6	2	0.00015756716300323014
primary::APC+KRAS+PTEN+SOX9+TP53	primary	APC+KRAS+PTEN+SOX9+TP53	5	2	0.00015756716300323014
primary::APC+KRAS+RNF43	primary	APC+KRAS+RNF43	3	2	0.00015756716300323014
primary::APC+KRAS+RNF43+SMAD4+SOX9+TGFBR2	primary	APC+KRAS+RNF43+SMAD4+SOX9+TGFBR2	6	2	0.00015756716300323014
primary::APC+KRAS+RNF43+TCF7L2+TP53	primary	APC+KRAS+RNF43+TCF7L2+TP53	5	2	0.00015756716300323014
primary::APC+KRAS+SOX9+TGFBR2	primary	APC+KRAS+SOX9+TGFBR2	4	2	0.00015756716300323014
primary::APC+KRAS+SOX9+TGFBR2+TP53	primary	APC+KRAS+SOX9+TGFBR2+TP53	5	2	0.00015756716300323014
primary::APC+KRAS+TGFBR2+TP53	primary	APC+KRAS+TGFBR2+TP53	4	2	0.00015756716300323014
primary::APC+NRAS+PIK3CA+PTEN	primary	APC+NRAS+PIK3CA+PTEN	4	2	0.00015756716300323014
primary::APC+NRAS+PIK3CA+TCF7L2	primary	APC+NRAS+PIK3CA+TCF7L2	4	2	0.00015756716300323014
primary::APC+PIK3CA+RNF43+TCF7L2+TP53	primary	APC+PIK3CA+RNF43+TCF7L2+TP53	5	2	0.00015756716300323014
primary::APC+PIK3CA+SMAD4	primary	APC+PIK3CA+SMAD4	3	2	0.00015756716300323014
primary::APC+PIK3CA+TCF7L2	primary	APC+PIK3CA+TCF7L2	3	2	0.00015756716300323014
primary::APC+PTEN+TCF7L2+TP53	primary	APC+PTEN+TCF7L2+TP53	4	2	0.00015756716300323014
primary::APC+RNF43+SMAD4+SOX9+TP53	primary	APC+RNF43+SMAD4+SOX9+TP53	5	2	0.00015756716300323014
primary::ARID1A	primary	ARID1A	1	2	0.00015756716300323014
primary::ARID1A+BRAF+CTNNB1+RNF43+SOX9	primary	ARID1A+BRAF+CTNNB1+RNF43+SOX9	5	2	0.00015756716300323014
primary::ARID1A+BRAF+FBXW7+PTEN+RNF43+TCF7L2	primary	ARID1A+BRAF+FBXW7+PTEN+RNF43+TCF7L2	6	2	0.00015756716300323014
primary::ARID1A+BRAF+FBXW7+PTEN+RNF43+TGFBR2	primary	ARID1A+BRAF+FBXW7+PTEN+RNF43+TGFBR2	6	2	0.00015756716300323014
primary::ARID1A+BRAF+FBXW7+PTEN+RNF43+TP53	primary	ARID1A+BRAF+FBXW7+PTEN+RNF43+TP53	6	2	0.00015756716300323014
primary::ARID1A+BRAF+FBXW7+RNF43+TP53	primary	ARID1A+BRAF+FBXW7+RNF43+TP53	5	2	0.00015756716300323014
primary::ARID1A+BRAF+FBXW7+TCF7L2+TGFBR2	primary	ARID1A+BRAF+FBXW7+TCF7L2+TGFBR2	5	2	0.00015756716300323014
primary::ARID1A+BRAF+KRAS+RNF43+TCF7L2+TGFBR2	primary	ARID1A+BRAF+KRAS+RNF43+TCF7L2+TGFBR2	6	2	0.00015756716300323014
primary::ARID1A+BRAF+PIK3CA+RNF43+TCF7L2	primary	ARID1A+BRAF+PIK3CA+RNF43+TCF7L2	5	2	0.00015756716300323014
primary::ARID1A+BRAF+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	primary	ARID1A+BRAF+PIK3CA+RNF43+TCF7L2+TGFBR2+TP53	7	2	0.00015756716300323014
primary::ARID1A+BRAF+PIK3CA+RNF43+TP53	primary	ARID1A+BRAF+PIK3CA+RNF43+TP53	5	2	0.00015756716300323014
primary::ARID1A+BRAF+PTEN+RNF43+SOX9+TCF7L2+TP53	primary	ARID1A+BRAF+PTEN+RNF43+SOX9+TCF7L2+TP53	7	2	0.00015756716300323014
primary::ARID1A+BRAF+PTEN+RNF43+TGFBR2	primary	ARID1A+BRAF+PTEN+RNF43+TGFBR2	5	2	0.00015756716300323014
primary::ARID1A+BRAF+RNF43+SMAD4	primary	ARID1A+BRAF+RNF43+SMAD4	4	2	0.00015756716300323014
primary::ARID1A+BRAF+RNF43+SMAD4+TP53	primary	ARID1A+BRAF+RNF43+SMAD4+TP53	5	2	0.00015756716300323014
primary::ARID1A+BRAF+RNF43+TGFBR2	primary	ARID1A+BRAF+RNF43+TGFBR2	4	2	0.00015756716300323014
primary::ARID1A+BRAF+SMAD4+TP53	primary	ARID1A+BRAF+SMAD4+TP53	4	2	0.00015756716300323014
primary::ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TP53	primary	ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TP53	6	2	0.00015756716300323014
primary::ARID1A+CTNNB1+PIK3CA+RNF43+SOX9+TCF7L2	primary	ARID1A+CTNNB1+PIK3CA+RNF43+SOX9+TCF7L2	6	2	0.00015756716300323014
primary::ARID1A+FBXW7+KRAS+PTEN+RNF43	primary	ARID1A+FBXW7+KRAS+PTEN+RNF43	5	2	0.00015756716300323014
primary::ARID1A+FBXW7+KRAS+SOX9	primary	ARID1A+FBXW7+KRAS+SOX9	4	2	0.00015756716300323014
primary::ARID1A+FBXW7+PIK3CA+RNF43+SOX9	primary	ARID1A+FBXW7+PIK3CA+RNF43+SOX9	5	2	0.00015756716300323014
primary::ARID1A+FBXW7+PTEN	primary	ARID1A+FBXW7+PTEN	3	2	0.00015756716300323014
primary::ARID1A+FBXW7+SOX9	primary	ARID1A+FBXW7+SOX9	3	2	0.00015756716300323014
primary::ARID1A+PIK3CA	primary	ARID1A+PIK3CA	2	2	0.00015756716300323014
primary::ARID1A+PIK3CA+PTEN+RNF43	primary	ARID1A+PIK3CA+PTEN+RNF43	4	2	0.00015756716300323014
primary::ARID1A+PIK3CA+PTEN+RNF43+TCF7L2	primary	ARID1A+PIK3CA+PTEN+RNF43+TCF7L2	5	2	0.00015756716300323014
primary::ARID1A+PTEN+RNF43+TGFBR2	primary	ARID1A+PTEN+RNF43+TGFBR2	4	2	0.00015756716300323014
primary::ARID1A+PTEN+TCF7L2	primary	ARID1A+PTEN+TCF7L2	3	2	0.00015756716300323014
primary::ARID1A+RNF43+SOX9+TGFBR2	primary	ARID1A+RNF43+SOX9+TGFBR2	4	2	0.00015756716300323014
primary::ARID1A+RNF43+TCF7L2+TP53	primary	ARID1A+RNF43+TCF7L2+TP53	4	2	0.00015756716300323014
primary::ARID1A+RNF43+TP53	primary	ARID1A+RNF43+TP53	3	2	0.00015756716300323014
primary::BRAF+FBXW7+KRAS+PIK3CA	primary	BRAF+FBXW7+KRAS+PIK3CA	4	2	0.00015756716300323014
primary::BRAF+FBXW7+PIK3CA	primary	BRAF+FBXW7+PIK3CA	3	2	0.00015756716300323014
primary::BRAF+FBXW7+PIK3CA+RNF43	primary	BRAF+FBXW7+PIK3CA+RNF43	4	2	0.00015756716300323014
primary::BRAF+FBXW7+PTEN+RNF43	primary	BRAF+FBXW7+PTEN+RNF43	4	2	0.00015756716300323014
primary::BRAF+FBXW7+RNF43+SMAD4	primary	BRAF+FBXW7+RNF43+SMAD4	4	2	0.00015756716300323014
primary::BRAF+FBXW7+RNF43+SMAD4+TP53	primary	BRAF+FBXW7+RNF43+SMAD4+TP53	5	2	0.00015756716300323014
primary::BRAF+FBXW7+SMAD4+TP53	primary	BRAF+FBXW7+SMAD4+TP53	4	2	0.00015756716300323014
primary::BRAF+KRAS+PIK3CA	primary	BRAF+KRAS+PIK3CA	3	2	0.00015756716300323014
primary::BRAF+KRAS+PTEN	primary	BRAF+KRAS+PTEN	3	2	0.00015756716300323014
primary::BRAF+PIK3CA+PTEN+SMAD4+TP53	primary	BRAF+PIK3CA+PTEN+SMAD4+TP53	5	2	0.00015756716300323014
primary::BRAF+PIK3CA+SMAD4+TP53	primary	BRAF+PIK3CA+SMAD4+TP53	4	2	0.00015756716300323014
primary::BRAF+PTEN+SMAD4	primary	BRAF+PTEN+SMAD4	3	2	0.00015756716300323014
primary::BRAF+RNF43+SOX9	primary	BRAF+RNF43+SOX9	3	2	0.00015756716300323014
primary::BRAF+RNF43+SOX9+TP53	primary	BRAF+RNF43+SOX9+TP53	4	2	0.00015756716300323014
primary::BRAF+RNF43+TGFBR2+TP53	primary	BRAF+RNF43+TGFBR2+TP53	4	2	0.00015756716300323014
primary::BRAF+TGFBR2	primary	BRAF+TGFBR2	2	2	0.00015756716300323014
primary::BRAF+TGFBR2+TP53	primary	BRAF+TGFBR2+TP53	3	2	0.00015756716300323014
primary::CTNNB1+FBXW7+KRAS+PIK3CA+TP53	primary	CTNNB1+FBXW7+KRAS+PIK3CA+TP53	5	2	0.00015756716300323014
primary::CTNNB1+FBXW7+KRAS+TCF7L2	primary	CTNNB1+FBXW7+KRAS+TCF7L2	4	2	0.00015756716300323014
primary::CTNNB1+KRAS+SOX9	primary	CTNNB1+KRAS+SOX9	3	2	0.00015756716300323014
primary::CTNNB1+KRAS+SOX9+TGFBR2	primary	CTNNB1+KRAS+SOX9+TGFBR2	4	2	0.00015756716300323014
primary::CTNNB1+KRAS+SOX9+TP53	primary	CTNNB1+KRAS+SOX9+TP53	4	2	0.00015756716300323014
primary::CTNNB1+NRAS+TP53	primary	CTNNB1+NRAS+TP53	3	2	0.00015756716300323014
primary::CTNNB1+PIK3CA+TP53	primary	CTNNB1+PIK3CA+TP53	3	2	0.00015756716300323014
primary::CTNNB1+PTEN	primary	CTNNB1+PTEN	2	2	0.00015756716300323014
primary::FBXW7+KRAS+PIK3CA+PTEN+SMAD4+TP53	primary	FBXW7+KRAS+PIK3CA+PTEN+SMAD4+TP53	6	2	0.00015756716300323014
primary::FBXW7+KRAS+RNF43	primary	FBXW7+KRAS+RNF43	3	2	0.00015756716300323014
primary::FBXW7+KRAS+RNF43+SMAD4+TP53	primary	FBXW7+KRAS+RNF43+SMAD4+TP53	5	2	0.00015756716300323014
primary::FBXW7+KRAS+TGFBR2	primary	FBXW7+KRAS+TGFBR2	3	2	0.00015756716300323014
primary::FBXW7+NRAS	primary	FBXW7+NRAS	2	2	0.00015756716300323014
primary::FBXW7+PIK3CA+PTEN+SMAD4+TP53	primary	FBXW7+PIK3CA+PTEN+SMAD4+TP53	5	2	0.00015756716300323014
primary::FBXW7+PTEN	primary	FBXW7+PTEN	2	2	0.00015756716300323014
primary::FBXW7+PTEN+TP53	primary	FBXW7+PTEN+TP53	3	2	0.00015756716300323014
primary::FBXW7+SMAD4+TP53	primary	FBXW7+SMAD4+TP53	3	2	0.00015756716300323014
primary::FBXW7+SOX9+TP53	primary	FBXW7+SOX9+TP53	3	2	0.00015756716300323014
primary::KRAS+PTEN+SMAD4	primary	KRAS+PTEN+SMAD4	3	2	0.00015756716300323014
primary::KRAS+PTEN+SMAD4+TP53	primary	KRAS+PTEN+SMAD4+TP53	4	2	0.00015756716300323014
primary::KRAS+RNF43	primary	KRAS+RNF43	2	2	0.00015756716300323014
primary::KRAS+TGFBR2+TP53	primary	KRAS+TGFBR2+TP53	3	2	0.00015756716300323014
primary::NRAS+PIK3CA	primary	NRAS+PIK3CA	2	2	0.00015756716300323014
primary::NRAS+PIK3CA+PTEN	primary	NRAS+PIK3CA+PTEN	3	2	0.00015756716300323014
primary::NRAS+PTEN+SMAD4+TP53	primary	NRAS+PTEN+SMAD4+TP53	4	2	0.00015756716300323014
primary::NRAS+SMAD4+TP53	primary	NRAS+SMAD4+TP53	3	2	0.00015756716300323014
primary::PTEN+SMAD4	primary	PTEN+SMAD4	2	2	0.00015756716300323014
primary::SMAD4+TCF7L2+TP53	primary	SMAD4+TCF7L2+TP53	3	2	0.00015756716300323014
primary::TCF7L2+TP53	primary	TCF7L2+TP53	2	2	0.00015756716300323014
primary::TGFBR2	primary	TGFBR2	1	2	0.00015756716300323014
unknown::APC+FBXW7+KRAS+TP53	unknown	APC+FBXW7+KRAS+TP53	4	2	0.00015756716300323014
unknown::APC+KRAS+PIK3CA	unknown	APC+KRAS+PIK3CA	3	2	0.00015756716300323014
unknown::APC+NRAS+TP53	unknown	APC+NRAS+TP53	3	2	0.00015756716300323014
unknown::APC+PIK3CA+TP53	unknown	APC+PIK3CA+TP53	3	2	0.00015756716300323014
unknown::ARID1A	unknown	ARID1A	1	2	0.00015756716300323014
unknown::KRAS+SMAD4+TP53	unknown	KRAS+SMAD4+TP53	3	2	0.00015756716300323014
unknown::PIK3CA+SMAD4	unknown	PIK3CA+SMAD4	2	2	0.00015756716300323014
unknown::PTEN+TP53	unknown	PTEN+TP53	2	2	0.00015756716300323014
metastatic::APC+ARID1A+BRAF+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+RNF43+SMAD4+SOX9+TCF7L2+TGFBR2+TP53	metastatic	APC+ARID1A+BRAF+CTNNB1+FBXW7+KRAS+PIK3CA+PTEN+RNF43+SMAD4+SOX9+TCF7L2+TGFBR2+TP53	14	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+CTNNB1+FBXW7+KRAS+RNF43+SMAD4+TCF7L2+TP53	metastatic	APC+ARID1A+BRAF+CTNNB1+FBXW7+KRAS+RNF43+SMAD4+TCF7L2+TP53	10	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+CTNNB1+PTEN+RNF43+SOX9+TCF7L2+TP53	metastatic	APC+ARID1A+BRAF+CTNNB1+PTEN+RNF43+SOX9+TCF7L2+TP53	9	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+CTNNB1+PTEN+SOX9+TCF7L2	metastatic	APC+ARID1A+BRAF+CTNNB1+PTEN+SOX9+TCF7L2	7	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+FBXW7+KRAS+SOX9+TCF7L2	metastatic	APC+ARID1A+BRAF+FBXW7+KRAS+SOX9+TCF7L2	7	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+FBXW7+KRAS+TCF7L2+TGFBR2	metastatic	APC+ARID1A+BRAF+FBXW7+KRAS+TCF7L2+TGFBR2	7	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43	metastatic	APC+ARID1A+BRAF+FBXW7+PIK3CA+RNF43	6	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+FBXW7+PTEN+RNF43	metastatic	APC+ARID1A+BRAF+FBXW7+PTEN+RNF43	6	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+FBXW7+PTEN+TCF7L2	metastatic	APC+ARID1A+BRAF+FBXW7+PTEN+TCF7L2	6	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+FBXW7+RNF43+SMAD4+SOX9	metastatic	APC+ARID1A+BRAF+FBXW7+RNF43+SMAD4+SOX9	7	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+FBXW7+RNF43+SMAD4+TGFBR2+TP53	metastatic	APC+ARID1A+BRAF+FBXW7+RNF43+SMAD4+TGFBR2+TP53	8	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+FBXW7+TCF7L2	metastatic	APC+ARID1A+BRAF+FBXW7+TCF7L2	5	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+PIK3CA+PTEN	metastatic	APC+ARID1A+BRAF+PIK3CA+PTEN	5	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+SMAD4+TP53	metastatic	APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+SMAD4+TP53	8	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+TGFBR2	metastatic	APC+ARID1A+BRAF+PIK3CA+PTEN+RNF43+TGFBR2	7	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+PIK3CA+RNF43+SOX9	metastatic	APC+ARID1A+BRAF+PIK3CA+RNF43+SOX9	6	1	7.878358150161507e-05
metastatic::APC+ARID1A+BRAF+PIK3CA+RNF43+TP53	metastatic	APC+ARID1A+BRAF+PIK3CA+RNF43+TP53	6	1	7.878358150161507e-05
